fold,train_start,train_end,test_start,test_end,train_samples,test_samples,split_ratio,mode
1,2018-01-02,2021-01-01,2021-01-02,2021-04-01,4668,384,0.9239904988123515,expanding
2,2018-01-02,2021-04-01,2021-04-02,2021-07-01,5052,390,0.9283351708930541,expanding
3,2018-01-02,2021-07-01,2021-07-02,2021-10-01,5442,396,0.9321685508735869,expanding
4,2018-01-02,2021-10-01,2021-10-02,2022-01-01,5838,390,0.9373795761078998,expanding
5,2018-01-02,2022-01-01,2022-01-02,2022-04-01,6228,390,0.9410698096101541,expanding
6,2018-01-02,2022-04-01,2022-04-02,2022-07-01,6618,390,0.9443493150684932,expanding
7,2018-01-02,2022-07-01,2022-07-02,2022-10-01,7008,390,0.9472830494728305,expanding
8,2018-01-02,2022-10-01,2022-10-02,2023-01-01,7398,384,0.9506553585196608,expanding
9,2018-01-02,2023-01-01,2023-01-02,2023-04-01,7782,390,0.9522760646108663,expanding
10,2018-01-02,2023-04-01,2023-04-02,2023-07-01,8172,390,0.9544498948843728,expanding
11,2018-01-02,2023-07-01,2023-07-02,2023-10-01,8562,390,0.9564343163538874,expanding
12,2018-01-02,2023-10-01,2023-10-02,2024-01-01,8952,384,0.9588688946015425,expanding
13,2018-01-02,2024-01-01,2024-01-02,2024-04-01,9336,390,0.9599012954966071,expanding
14,2018-01-02,2024-04-01,2024-04-02,2024-07-01,9726,390,0.961447212336892,expanding
15,2018-01-02,2024-07-01,2024-07-02,2024-10-01,10116,396,0.9623287671232876,expanding
16,2018-01-02,2024-10-01,2024-10-02,2025-01-01,10512,385,0.9646691750022942,expanding
17,2018-01-02,2025-01-01,2025-01-02,2025-04-01,10897,384,0.9659604644978282,expanding
18,2018-01-02,2025-04-01,2025-04-02,2025-07-01,11281,390,0.966583840287893,expanding
19,2018-01-02,2025-07-01,2025-07-02,2025-10-01,11671,396,0.96718322698268,expanding
