open,high,low,close
1.1212,1.12255,1.12071,1.1222
1.12219,1.12255,1.12018,1.12053
1.12052,1.1215,1.12022,1.1204
1.12041,1.12048,1.11838,1.1197
1.11968,1.12037,1.1164,1.11704
1.11706,1.11736,1.1164,1.1172
1.1172,1.11788,1.1169,1.11738
1.11739,1.11778,1.11645,1.11668
1.11667,1.11719,1.11395,1.11397
1.11398,1.11479,1.11241,1.11371
1.1137,1.11792,1.11343,1.11716
1.11715,1.11727,1.1151,1.1154
1.1163,1.11678,1.1157,1.11622
1.11622,1.11705,1.11599,1.11618
1.11617,1.11937,1.11565,1.11935
1.11934,1.12058,1.11901,1.11978
1.11979,1.12005,1.11812,1.11953
1.11953,1.1199,1.11882,1.11948
1.11942,1.11978,1.11894,1.11938
1.11937,1.11947,1.11832,1.11834
1.11835,1.119,1.11727,1.11845
1.11846,1.11862,1.11547,1.11559
1.11561,1.11618,1.11327,1.11417
1.11416,1.1153,1.11406,1.11518
1.11514,1.11675,1.11437,1.11548
1.11551,1.11606,1.11443,1.11484
1.11483,1.11541,1.11243,1.11376
1.11377,1.11378,1.11096,1.11188
1.1119,1.11297,1.11076,1.11168
1.11167,1.11167,1.10998,1.11039
1.11029,1.11181,1.11014,1.11161
1.1116,1.11176,1.11113,1.11171
1.11169,1.11192,1.10971,1.1098
1.1098,1.1116,1.10954,1.11136
1.11135,1.11135,1.10911,1.11033
1.11033,1.11087,1.11021,1.11043
1.11042,1.11083,1.11003,1.1103
1.11031,1.11098,1.11024,1.11078
1.11079,1.11099,1.10897,1.1095
1.10951,1.11119,1.10837,1.10947
1.10947,1.11279,1.10847,1.11212
1.11211,1.1122,1.1114,1.11149
1.1113,1.11202,1.11104,1.11201
1.112,1.11308,1.11188,1.11286
1.11285,1.1135,1.11135,1.11139
1.1114,1.11271,1.11113,1.11176
1.11177,1.11459,1.11163,1.11392
1.11392,1.1144,1.1132,1.11328
1.1132,1.11412,1.11301,1.1136
1.1136,1.11378,1.11343,1.11359
1.1136,1.11436,1.11294,1.11306
1.11304,1.11343,1.11037,1.11089
1.11089,1.11317,1.1103,1.11299
1.11297,1.11336,1.11234,1.11261
1.11257,1.11301,1.11239,1.11286
1.11285,1.11335,1.1126,1.1133
1.11328,1.11359,1.11173,1.11273
1.11272,1.11539,1.11239,1.11483
1.11481,1.11629,1.11427,1.11571
1.1157,1.1159,1.11472,1.11488
1.11487,1.11574,1.1148,1.1153
1.11529,1.11543,1.1149,1.11491
1.1149,1.11632,1.11439,1.11535
1.11533,1.11718,1.11496,1.1151
1.11509,1.11598,1.11268,1.11336
1.11336,1.11371,1.11308,1.11347
1.11347,1.11383,1.11304,1.11358
1.11358,1.11416,1.11298,1.11355
1.11353,1.11402,1.11237,1.11267
1.11266,1.11272,1.10966,1.10993
1.10994,1.1105,1.10847,1.10898
1.10897,1.10932,1.10865,1.10886
1.10913,1.10972,1.10875,1.10949
1.10948,1.10975,1.10925,1.10962
1.10965,1.11011,1.10809,1.10878
1.10879,1.10892,1.10791,1.10821
1.1082,1.10855,1.10751,1.10819
1.1082,1.10965,1.1081,1.10932
1.10929,1.10963,1.10874,1.10892
1.10892,1.1098,1.10892,1.10939
1.1094,1.10961,1.10842,1.10893
1.10893,1.11167,1.10887,1.11125
1.11124,1.11126,1.10875,1.10906
1.10905,1.1094,1.10794,1.10805
1.10815,1.10855,1.10763,1.10805
1.10804,1.10843,1.10759,1.10832
1.10831,1.10914,1.10734,1.10894
1.10895,1.10934,1.10757,1.10884
1.10885,1.1097,1.10687,1.10843
1.10842,1.10935,1.10825,1.10914
1.10912,1.10983,1.10784,1.10881
1.10879,1.10902,1.10798,1.10819
1.10819,1.10909,1.10776,1.10831
1.1083,1.11072,1.10788,1.10854
1.10854,1.10888,1.10346,1.10493
1.10495,1.10572,1.10465,1.10501
1.10501,1.10561,1.10491,1.10523
1.10523,1.10523,1.10448,1.10474
1.10473,1.10599,1.10318,1.10343
1.10342,1.1038,1.10244,1.10371
1.10372,1.10381,1.10177,1.10256
1.10256,1.10313,1.10198,1.1023
1.10284,1.1033,1.10215,1.10318
1.10319,1.1034,1.1025,1.1029
1.10289,1.10358,1.10133,1.1019
1.10194,1.10298,1.10166,1.10254
1.10254,1.10303,1.10076,1.10133
1.10133,1.10183,1.10109,1.10161
1.10169,1.10236,1.10149,1.10181
1.1018,1.10213,1.10159,1.10201
1.102,1.10216,1.10109,1.10149
1.10148,1.10208,1.10003,1.10036
1.10038,1.10089,1.09959,1.1007
1.10072,1.1021,1.10072,1.10199
1.10203,1.10258,1.1014,1.10145
1.10143,1.10152,1.10092,1.10129
1.1013,1.10145,1.09924,1.10002
1.10001,1.10022,1.09902,1.09905
1.09906,1.10078,1.09904,1.1003
1.10029,1.10188,1.09964,1.10078
1.10078,1.1016,1.10041,1.1009
1.10091,1.10151,1.10091,1.10114
1.10116,1.10193,1.10047,1.10168
1.10164,1.10298,1.10094,1.10233
1.10233,1.10363,1.10129,1.10358
1.10356,1.10373,1.10268,1.10295
1.10289,1.10331,1.10248,1.10272
