fold,train_start,train_end,test_start,test_end,train_samples,test_samples,split_ratio,mode
1,2018-01-02,2019-01-01,2019-01-02,2019-07-01,1554,774,0.6675257731958762,fixed
2,2018-07-02,2019-07-01,2019-07-02,2020-01-01,1554,780,0.6658097686375322,fixed
3,2019-01-02,2020-01-01,2020-01-02,2020-07-01,1554,780,0.6658097686375322,fixed
4,2019-07-02,2020-07-01,2020-07-02,2021-01-01,1560,780,0.6666666666666666,fixed
5,2020-01-02,2021-01-01,2021-01-02,2021-07-01,1560,774,0.6683804627249358,fixed
6,2020-07-02,2021-07-01,2021-07-02,2022-01-01,1554,786,0.6641025641025641,fixed
7,2021-01-02,2022-01-01,2022-01-02,2022-07-01,1560,780,0.6666666666666666,fixed
8,2021-07-02,2022-07-01,2022-07-02,2023-01-01,1566,774,0.6692307692307692,fixed
9,2022-01-02,2023-01-01,2023-01-02,2023-07-01,1554,780,0.6658097686375322,fixed
10,2022-07-02,2023-07-01,2023-07-02,2024-01-01,1554,774,0.6675257731958762,fixed
11,2023-01-02,2024-01-01,2024-01-02,2024-07-01,1554,780,0.6658097686375322,fixed
12,2023-07-02,2024-07-01,2024-07-02,2025-01-01,1554,781,0.665524625267666,fixed
13,2024-01-02,2025-01-01,2025-01-02,2025-07-01,1561,774,0.6685224839400429,fixed
