profile,fold,train_core_start,train_core_end,validation_start,validation_end,test_start,test_end,train_core_samples,validation_samples,test_samples,mae_open_pips,mae_high_pips,mae_low_pips,mae_close_pips,mae_avg_pips,test_samples_predicted,preds_csv,history_csv
h4,12,2018-12-03 00:00:00,2024-11-01 20:00:00,2024-11-04 00:00:00,2024-11-29 20:00:00,2024-12-02 00:00:00,2024-12-31 20:00:00,9217,120,126,5.157952380952398,10.624293650793712,11.416865079365074,14.273817460317506,10.368232142857174,126,fold12_preds.csv,fold12_history.csv
h4,13,2019-01-02 00:00:00,2024-11-29 20:00:00,2024-12-02 00:00:00,2024-12-31 20:00:00,2025-01-02 00:00:00,2025-01-31 20:00:00,9217,126,132,3.610696969697059,11.901545454545406,14.806310606060539,18.74027272727282,12.264706439393956,132,fold13_preds.csv,fold13_history.csv
h4,14,2019-02-04 00:00:00,2024-12-31 20:00:00,2025-01-02 00:00:00,2025-01-31 20:00:00,2025-02-03 00:00:00,2025-02-28 20:00:00,9205,132,120,11.4339916666667,16.830558333333226,17.50895000000019,20.625325000000156,16.599706250000068,120,fold14_preds.csv,fold14_history.csv
h4,15,2019-03-04 00:00:00,2025-01-31 20:00:00,2025-02-03 00:00:00,2025-02-28 20:00:00,2025-03-03 00:00:00,2025-04-01 20:00:00,9217,120,132,3.569712121212033,12.348553030303073,10.843954545454556,15.609022727272706,10.592810606060592,132,fold15_preds.csv,fold15_history.csv
h4,16,2019-04-02 00:00:00,2025-02-28 20:00:00,2025-03-03 00:00:00,2025-04-01 20:00:00,2025-04-02 00:00:00,2025-05-01 20:00:00,9211,132,132,12.743666666666595,24.493431818181712,20.512924242424184,29.787833333333342,21.88446401515146,132,fold16_preds.csv,fold16_history.csv
h4,17,2019-05-02 00:00:00,2025-04-01 20:00:00,2025-04-02 00:00:00,2025-05-01 20:00:00,2025-05-02 00:00:00,2025-05-30 20:00:00,9211,132,126,5.01294444444449,12.676912698412739,14.429785714285732,19.58861904761914,12.927065476190526,126,fold17_preds.csv,fold17_history.csv
h4,18,2019-06-03 00:00:00,2025-05-01 20:00:00,2025-05-02 00:00:00,2025-05-30 20:00:00,2025-06-02 00:00:00,2025-07-01 20:00:00,9211,126,132,17.631356060606006,21.603136363636416,19.612484848484808,24.81084090909102,20.91445454545456,132,fold18_preds.csv,fold18_history.csv
h4,19,2019-07-02 00:00:00,2025-05-30 20:00:00,2025-06-02 00:00:00,2025-07-01 20:00:00,2025-07-02 00:00:00,2025-08-01 20:00:00,9211,132,138,12.502507246376817,15.584434782608694,18.61856521739135,23.021999999999952,17.431876811594204,138,fold19_preds.csv,fold19_history.csv
h4,20,2019-08-02 00:00:00,2025-07-01 20:00:00,2025-07-02 00:00:00,2025-08-01 20:00:00,2025-08-04 00:00:00,2025-09-01 20:00:00,9205,138,126,6.293674603174629,11.51695238095243,10.628841269841324,16.11888888888901,11.139589285714347,126,fold20_preds.csv,fold20_history.csv
h4,21,2019-09-02 00:00:00,2025-08-01 20:00:00,2025-08-04 00:00:00,2025-09-01 20:00:00,2025-09-02 00:00:00,2025-10-01 20:00:00,9217,126,132,5.514977272727405,10.012954545454498,9.538143939393885,13.182651515151575,9.562181818181841,132,fold21_preds.csv,fold21_history.csv
