profile,fold,train_core_start,train_core_end,validation_start,validation_end,test_start,test_end,train_core_samples,validation_samples,test_samples,mae_open_pips,mae_high_pips,mae_low_pips,mae_close_pips,mae_avg_pips,test_samples_predicted,preds_csv,history_csv
h4,12,2018-12-03 00:00:00,2024-11-01 20:00:00,2024-11-04 00:00:00,2024-11-29 20:00:00,2024-12-02 00:00:00,2024-12-31 20:00:00,9217,120,126,5.247507936507833,10.74365873015882,11.505817460317264,14.349595238095242,10.46164484126979,126,fold12_preds.csv,fold12_history.csv
h4,13,2019-01-02 00:00:00,2024-11-29 20:00:00,2024-12-02 00:00:00,2024-12-31 20:00:00,2025-01-02 00:00:00,2025-01-31 20:00:00,9217,126,132,7.510386363636455,15.08620454545456,15.406553030303048,18.25027272727293,14.063354166666748,132,fold13_preds.csv,fold13_history.csv
h4,14,2019-02-04 00:00:00,2024-12-31 20:00:00,2025-01-02 00:00:00,2025-01-31 20:00:00,2025-02-03 00:00:00,2025-02-28 20:00:00,9205,132,120,6.536216666666705,14.21398333333342,13.907966666666717,17.645775000000235,13.07598541666677,120,fold14_preds.csv,fold14_history.csv
h4,15,2019-03-04 00:00:00,2025-01-31 20:00:00,2025-02-03 00:00:00,2025-02-28 20:00:00,2025-03-03 00:00:00,2025-04-01 20:00:00,9217,120,132,3.300522727272565,12.50836363636361,10.777666666666462,15.689333333333488,10.568971590909031,132,fold15_preds.csv,fold15_history.csv
h4,16,2019-04-02 00:00:00,2025-02-28 20:00:00,2025-03-03 00:00:00,2025-04-01 20:00:00,2025-04-02 00:00:00,2025-05-01 20:00:00,9211,132,132,11.509522727272664,24.27443181818179,20.023166666666686,29.57696212121214,21.34602083333332,132,fold16_preds.csv,fold16_history.csv
h4,17,2019-05-02 00:00:00,2025-04-01 20:00:00,2025-04-02 00:00:00,2025-05-01 20:00:00,2025-05-02 00:00:00,2025-05-30 20:00:00,9211,132,126,7.0053174603175385,13.41261111111108,15.499674603174556,20.677738095238105,14.14883531746032,126,fold17_preds.csv,fold17_history.csv
h4,18,2019-06-03 00:00:00,2025-05-01 20:00:00,2025-05-02 00:00:00,2025-05-30 20:00:00,2025-06-02 00:00:00,2025-07-01 20:00:00,9211,126,132,13.639356060606037,19.03631060606057,16.983363636363624,22.943977272727338,18.150751893939393,132,fold18_preds.csv,fold18_history.csv
h4,19,2019-07-02 00:00:00,2025-05-30 20:00:00,2025-06-02 00:00:00,2025-07-01 20:00:00,2025-07-02 00:00:00,2025-08-01 20:00:00,9211,132,138,8.943572463768145,13.617739130434781,14.146268115942041,19.182992753623225,13.972643115942049,138,fold19_preds.csv,fold19_history.csv
h4,20,2019-08-02 00:00:00,2025-07-01 20:00:00,2025-07-02 00:00:00,2025-08-01 20:00:00,2025-08-04 00:00:00,2025-09-01 20:00:00,9205,138,126,7.10640476190472,11.463246031746161,10.540976190476155,15.913182539682708,11.255952380952436,126,fold20_preds.csv,fold20_history.csv
h4,21,2019-09-02 00:00:00,2025-08-01 20:00:00,2025-08-04 00:00:00,2025-09-01 20:00:00,2025-09-02 00:00:00,2025-10-01 20:00:00,9217,126,132,5.176787878787887,10.091151515151472,9.42353787878796,13.136992424242404,9.45711742424243,132,fold21_preds.csv,fold21_history.csv
