profile,fold,train_core_start,train_core_end,validation_start,validation_end,test_start,test_end,train_core_samples,validation_samples,test_samples,mae_open_pips,mae_high_pips,mae_low_pips,mae_close_pips,mae_avg_pips,test_samples_predicted,preds_csv,history_csv
h4,12,2018-12-03 00:00:00,2024-11-01 20:00:00,2024-11-04 00:00:00,2024-11-29 20:00:00,2024-12-02 00:00:00,2024-12-31 20:00:00,9217,120,126,2.8972460317459228,8.727103174603196,11.351373015872891,14.362444444444373,9.334541666666595,126,fold12_preds.csv,fold12_history.csv
h4,13,2019-01-02 00:00:00,2024-11-29 20:00:00,2024-12-02 00:00:00,2024-12-31 20:00:00,2025-01-02 00:00:00,2025-01-31 20:00:00,9217,126,132,3.913166666666614,11.835825757575709,12.34234090909104,17.777719696969747,11.467263257575777,132,fold13_preds.csv,fold13_history.csv
h4,14,2019-02-04 00:00:00,2024-12-31 20:00:00,2025-01-02 00:00:00,2025-01-31 20:00:00,2025-02-03 00:00:00,2025-02-28 20:00:00,9205,132,120,5.904150000000053,13.387066666666687,12.12305833333353,17.781900000000054,12.29904375000008,120,fold14_preds.csv,fold14_history.csv
h4,15,2019-03-04 00:00:00,2025-01-31 20:00:00,2025-02-03 00:00:00,2025-02-28 20:00:00,2025-03-03 00:00:00,2025-04-01 20:00:00,9217,120,132,5.64652272727279,13.204530303030236,11.554962121211977,17.07923484848483,11.871312499999958,132,fold15_preds.csv,fold15_history.csv
h4,16,2019-04-02 00:00:00,2025-02-28 20:00:00,2025-03-03 00:00:00,2025-04-01 20:00:00,2025-04-02 00:00:00,2025-05-01 20:00:00,9211,132,132,6.886606060606016,20.026522727272738,18.64703787878787,27.734553030302898,18.32367992424238,132,fold16_preds.csv,fold16_history.csv
h4,17,2019-05-02 00:00:00,2025-04-01 20:00:00,2025-04-02 00:00:00,2025-05-01 20:00:00,2025-05-02 00:00:00,2025-05-30 20:00:00,9211,132,126,5.112865079364994,12.184166666666574,16.105166666666655,20.14352380952385,13.386430555555519,126,fold17_preds.csv,fold17_history.csv
h4,18,2019-06-03 00:00:00,2025-05-01 20:00:00,2025-05-02 00:00:00,2025-05-30 20:00:00,2025-06-02 00:00:00,2025-07-01 20:00:00,9211,126,132,3.9534545454544485,12.921613636363656,12.306621212121145,17.50559090909085,11.671820075757525,132,fold18_preds.csv,fold18_history.csv
h4,19,2019-07-02 00:00:00,2025-05-30 20:00:00,2025-06-02 00:00:00,2025-07-01 20:00:00,2025-07-02 00:00:00,2025-08-01 20:00:00,9211,132,138,4.7575652173913285,12.570210144927524,12.051681159420374,16.493847826086856,11.468326086956521,138,fold19_preds.csv,fold19_history.csv
h4,20,2019-08-02 00:00:00,2025-07-01 20:00:00,2025-07-02 00:00:00,2025-08-01 20:00:00,2025-08-04 00:00:00,2025-09-01 20:00:00,9205,138,126,3.461523809523833,10.515349206349187,10.713722222222124,15.092023809523761,9.945654761904725,126,fold20_preds.csv,fold20_history.csv
h4,21,2019-09-02 00:00:00,2025-08-01 20:00:00,2025-08-04 00:00:00,2025-09-01 20:00:00,2025-09-02 00:00:00,2025-10-01 20:00:00,9217,126,132,3.743659090909248,9.76538636363625,8.75252272727258,13.017871212121182,8.819859848484814,132,fold21_preds.csv,fold21_history.csv
