profile,fold,train_core_start,train_core_end,validation_start,validation_end,test_start,test_end,train_core_samples,validation_samples,test_samples,mae_open_pips,mae_high_pips,mae_low_pips,mae_close_pips,mae_avg_pips,test_samples_predicted,preds_csv,history_csv
h4,10,2018-10-02 00:00:00,2024-08-30 20:00:00,2024-09-02 00:00:00,2024-10-01 20:00:00,2024-10-02 00:00:00,2024-11-01 20:00:00,9210,132,139,2.509374100719311,6.457611510791389,9.696143884892104,10.060870503597153,7.180999999999989,139,fold10_preds.csv,fold10_history.csv
h4,11,2018-11-02 00:00:00,2024-10-01 20:00:00,2024-10-02 00:00:00,2024-11-01 20:00:00,2024-11-04 00:00:00,2024-11-29 20:00:00,9204,139,120,4.36084999999999,11.412924999999982,16.819149999999986,18.188450000000024,12.695343749999996,120,fold11_preds.csv,fold11_history.csv
h4,12,2018-12-03 00:00:00,2024-11-01 20:00:00,2024-11-04 00:00:00,2024-11-29 20:00:00,2024-12-02 00:00:00,2024-12-31 20:00:00,9217,120,126,3.7433095238093723,10.75319047619046,11.965444444444376,14.298626984127099,10.190142857142826,126,fold12_preds.csv,fold12_history.csv
h4,13,2019-01-02 00:00:00,2024-11-29 20:00:00,2024-12-02 00:00:00,2024-12-31 20:00:00,2025-01-02 00:00:00,2025-01-31 20:00:00,9217,126,132,4.0885454545455415,11.804037878787856,12.509825757575728,17.364484848484846,11.441723484848493,132,fold13_preds.csv,fold13_history.csv
h4,14,2019-02-04 00:00:00,2024-12-31 20:00:00,2025-01-02 00:00:00,2025-01-31 20:00:00,2025-02-03 00:00:00,2025-02-28 20:00:00,9205,132,120,6.046383333333405,13.307558333333377,12.222933333333389,17.38821666666688,12.241272916666762,120,fold14_preds.csv,fold14_history.csv
h4,15,2019-03-04 00:00:00,2025-01-31 20:00:00,2025-02-03 00:00:00,2025-02-28 20:00:00,2025-03-03 00:00:00,2025-04-01 20:00:00,9217,120,132,4.918477272727082,13.199893939393874,11.488393939393902,17.00611363636367,11.653219696969632,132,fold15_preds.csv,fold15_history.csv
h4,16,2019-04-02 00:00:00,2025-02-28 20:00:00,2025-03-03 00:00:00,2025-04-01 20:00:00,2025-04-02 00:00:00,2025-05-01 20:00:00,9211,132,132,5.9489924242422765,20.542893939393913,18.450643939393768,26.84503030303022,17.946890151515046,132,fold16_preds.csv,fold16_history.csv
h4,17,2019-05-02 00:00:00,2025-04-01 20:00:00,2025-04-02 00:00:00,2025-05-01 20:00:00,2025-05-02 00:00:00,2025-05-30 20:00:00,9211,132,126,5.287230158730268,12.648531746031694,14.9748730158731,19.28450000000013,13.048783730158798,126,fold17_preds.csv,fold17_history.csv
h4,18,2019-06-03 00:00:00,2025-05-01 20:00:00,2025-05-02 00:00:00,2025-05-30 20:00:00,2025-06-02 00:00:00,2025-07-01 20:00:00,9211,126,132,4.906416666666684,13.065856060605904,11.142030303030298,17.782803030302887,11.724276515151443,132,fold18_preds.csv,fold18_history.csv
h4,19,2019-07-02 00:00:00,2025-05-30 20:00:00,2025-06-02 00:00:00,2025-07-01 20:00:00,2025-07-02 00:00:00,2025-08-01 20:00:00,9211,132,138,5.623514492753693,12.5004492753623,13.521528985507308,18.145217391304353,12.447677536231913,138,fold19_preds.csv,fold19_history.csv
h4,20,2019-08-02 00:00:00,2025-07-01 20:00:00,2025-07-02 00:00:00,2025-08-01 20:00:00,2025-08-04 00:00:00,2025-09-01 20:00:00,9205,138,126,3.180603174603262,12.82451587301585,10.971079365079294,15.43178571428568,10.60199603174602,126,fold20_preds.csv,fold20_history.csv
h4,21,2019-09-02 00:00:00,2025-08-01 20:00:00,2025-08-04 00:00:00,2025-09-01 20:00:00,2025-09-02 00:00:00,2025-10-01 20:00:00,9217,126,132,3.3535227272727433,10.199159090909045,9.117280303030249,13.400386363636347,9.017587121212095,132,fold21_preds.csv,fold21_history.csv
