fold,train_start,train_end,test_start,test_end,train_samples,test_samples,split_ratio,mode
1,2018-01-02,2018-07-01,2018-07-02,2019-01-01,774,780,0.4980694980694981,expanding
2,2018-01-02,2019-01-01,2019-01-02,2019-07-01,1554,774,0.6675257731958762,expanding
3,2018-01-02,2019-07-01,2019-07-02,2020-01-01,2328,780,0.749034749034749,expanding
4,2018-01-02,2020-01-01,2020-01-02,2020-07-01,3108,780,0.7993827160493827,expanding
5,2018-01-02,2020-07-01,2020-07-02,2021-01-01,3888,780,0.8329048843187661,expanding
6,2018-01-02,2021-01-01,2021-01-02,2021-07-01,4668,774,0.8577728776185226,expanding
7,2018-01-02,2021-07-01,2021-07-02,2022-01-01,5442,786,0.873795761078998,expanding
8,2018-01-02,2022-01-01,2022-01-02,2022-07-01,6228,780,0.8886986301369864,expanding
9,2018-01-02,2022-07-01,2022-07-02,2023-01-01,7008,774,0.9005397070161912,expanding
10,2018-01-02,2023-01-01,2023-01-02,2023-07-01,7782,780,0.9088997897687456,expanding
11,2018-01-02,2023-07-01,2023-07-02,2024-01-01,8562,774,0.9170951156812339,expanding
12,2018-01-02,2024-01-01,2024-01-02,2024-07-01,9336,780,0.9228944246737841,expanding
13,2018-01-02,2024-07-01,2024-07-02,2025-01-01,10116,781,0.9283288978617968,expanding
14,2018-01-02,2025-01-01,2025-01-02,2025-07-01,10897,774,0.9336817753405878,expanding
