open,high,low,close
1.12844,1.1289,1.12797,1.12834
1.12834,1.1289,1.12746,1.12889
1.12889,1.1299,1.12855,1.12931
1.12931,1.132,1.12891,1.12984
1.12984,1.13123,1.12863,1.13073
1.13072,1.13074,1.12822,1.12843
1.12842,1.12941,1.12833,1.12931
1.1293,1.12949,1.12859,1.12882
1.12882,1.12901,1.12683,1.12881
1.12881,1.12998,1.12765,1.12823
1.12823,1.13117,1.12716,1.12809
1.12808,1.12844,1.12745,1.12768
1.12768,1.12888,1.12762,1.12864
1.12864,1.12949,1.12816,1.12855
1.12855,1.12895,1.12787,1.12794
1.12789,1.12898,1.1277,1.12829
1.12829,1.12842,1.12727,1.12807
1.12808,1.12853,1.12807,1.12841
1.12821,1.12873,1.12793,1.12796
1.12796,1.12841,1.12775,1.12807
1.12806,1.12811,1.12606,1.12614
1.12614,1.12696,1.12318,1.12434
1.12434,1.12434,1.12063,1.12177
1.12177,1.12271,1.12149,1.12226
1.12252,1.12287,1.12188,1.12201
1.12201,1.12302,1.122,1.12302
1.12302,1.12336,1.12187,1.12306
1.12306,1.1232,1.12122,1.12225
1.12224,1.12236,1.12062,1.12138
1.12138,1.122,1.12074,1.1213
1.12132,1.12179,1.12122,1.12147
1.12148,1.12173,1.12088,1.12167
1.12167,1.12169,1.11955,1.11977
1.11977,1.12084,1.11925,1.12037
1.12037,1.12102,1.11989,1.12076
1.12076,1.1213,1.12024,1.12069
1.12069,1.12079,1.1201,1.12027
1.12027,1.12094,1.12014,1.12066
1.12066,1.12262,1.12026,1.12243
1.12244,1.12545,1.12116,1.12494
1.12496,1.12634,1.12351,1.12589
1.12589,1.12615,1.12496,1.125
1.12501,1.12647,1.125,1.12607
1.12607,1.12803,1.12576,1.12755
1.12755,1.12788,1.12665,1.12732
1.12733,1.12858,1.12623,1.1267
1.1267,1.12722,1.12447,1.12538
1.12538,1.12604,1.12451,1.12527
1.12529,1.12593,1.12487,1.1258
1.1258,1.12733,1.12572,1.12708
1.12708,1.12745,1.1261,1.12615
1.12616,1.12665,1.12369,1.12437
1.12438,1.12673,1.12397,1.12671
1.12671,1.12735,1.12632,1.12685
1.12681,1.12741,1.1262,1.12736
1.12738,1.12741,1.12637,1.12718
1.12718,1.12836,1.12694,1.12725
1.12726,1.1284,1.12615,1.12654
1.12654,1.12709,1.12536,1.12588
1.12588,1.12596,1.12537,1.12574
1.12572,1.12627,1.1257,1.1258
1.1258,1.12631,1.1255,1.12598
1.12598,1.12616,1.12356,1.12445
1.12445,1.12452,1.12081,1.12183
1.12182,1.12231,1.12067,1.12112
1.12112,1.12187,1.12007,1.12089
1.12089,1.12117,1.12056,1.12103
1.12103,1.12144,1.12065,1.12143
1.12143,1.12162,1.11986,1.12093
1.12092,1.12213,1.1209,1.12107
1.12107,1.12328,1.12105,1.1224
1.1224,1.12304,1.12185,1.12234
1.12232,1.12381,1.12226,1.12372
1.12372,1.1241,1.12321,1.12358
1.12359,1.12434,1.12332,1.12391
1.12391,1.12394,1.12045,1.1216
1.1216,1.1229,1.12124,1.12234
1.12234,1.12809,1.12215,1.12771
1.12771,1.12826,1.12401,1.12606
1.12607,1.12679,1.12579,1.1259
1.12591,1.12651,1.12499,1.12509
1.12509,1.12519,1.12164,1.12246
1.12246,1.1238,1.12137,1.12279
1.12279,1.1229,1.12026,1.12185
1.12144,1.12193,1.12096,1.12108
1.12108,1.12201,1.12068,1.1217
1.1217,1.12229,1.12111,1.12165
1.12165,1.12235,1.12062,1.12172
1.12171,1.12244,1.12112,1.12175
1.12175,1.12192,1.12052,1.1208
1.1208,1.12087,1.12025,1.12039
1.12038,1.12039,1.1189,1.11912
1.11912,1.1195,1.11801,1.1182
1.1182,1.11839,1.11674,1.1168
1.1168,1.11687,1.11467,1.11498
1.11498,1.11567,1.1145,1.11507
1.11507,1.11546,1.11432,1.11475
1.11475,1.11492,1.11419,1.11445
