profile,fold,train_core_start,train_core_end,validation_start,validation_end,test_start,test_end,train_core_samples,validation_samples,test_samples,combined_samples
d1,10,2018-10-02 00:00:00,2024-07-01 00:00:00,2024-07-02 00:00:00,2024-10-01 00:00:00,2024-10-02 00:00:00,2024-11-01 00:00:00,1491,66,24,1581
d1,11,2018-11-02 00:00:00,2024-08-01 00:00:00,2024-08-02 00:00:00,2024-11-01 00:00:00,2024-11-04 00:00:00,2024-11-29 00:00:00,1491,67,20,1578
d1,12,2018-12-03 00:00:00,2024-08-30 00:00:00,2024-09-02 00:00:00,2024-11-29 00:00:00,2024-12-02 00:00:00,2024-12-31 00:00:00,1491,66,21,1578
d1,13,2019-01-02 00:00:00,2024-10-01 00:00:00,2024-10-02 00:00:00,2024-12-31 00:00:00,2025-01-02 00:00:00,2025-01-31 00:00:00,1493,65,22,1580
d1,14,2019-02-04 00:00:00,2024-11-01 00:00:00,2024-11-04 00:00:00,2025-01-31 00:00:00,2025-02-03 00:00:00,2025-02-28 00:00:00,1494,63,20,1577
d1,15,2019-03-04 00:00:00,2024-11-29 00:00:00,2024-12-02 00:00:00,2025-02-28 00:00:00,2025-03-03 00:00:00,2025-04-01 00:00:00,1494,63,22,1579
d1,16,2019-04-02 00:00:00,2024-12-31 00:00:00,2025-01-02 00:00:00,2025-04-01 00:00:00,2025-04-02 00:00:00,2025-05-01 00:00:00,1494,64,22,1580
d1,17,2019-05-02 00:00:00,2025-01-31 00:00:00,2025-02-03 00:00:00,2025-05-01 00:00:00,2025-05-02 00:00:00,2025-05-30 00:00:00,1494,64,21,1579
d1,18,2019-06-03 00:00:00,2025-02-28 00:00:00,2025-03-03 00:00:00,2025-05-30 00:00:00,2025-06-02 00:00:00,2025-07-01 00:00:00,1492,65,22,1579
d1,19,2019-07-02 00:00:00,2025-04-01 00:00:00,2025-04-02 00:00:00,2025-07-01 00:00:00,2025-07-02 00:00:00,2025-08-01 00:00:00,1493,65,23,1581
d1,20,2019-08-02 00:00:00,2025-05-01 00:00:00,2025-05-02 00:00:00,2025-08-01 00:00:00,2025-08-04 00:00:00,2025-09-01 00:00:00,1492,66,21,1579
d1,21,2019-09-02 00:00:00,2025-05-30 00:00:00,2025-06-02 00:00:00,2025-09-01 00:00:00,2025-09-02 00:00:00,2025-10-01 00:00:00,1492,66,22,1580
