profile,fold,train_core_start,train_core_end,validation_start,validation_end,test_start,test_end,train_core_samples,validation_samples,test_samples,combined_samples
h4,1,2018-01-02 00:00:00,2023-12-01 20:00:00,2023-12-04 00:00:00,2023-12-29 20:00:00,2024-01-02 00:00:00,2024-02-01 20:00:00,9222,114,138,9474
h4,2,2018-02-02 00:00:00,2023-12-29 20:00:00,2024-01-02 00:00:00,2024-02-01 20:00:00,2024-02-02 00:00:00,2024-03-01 20:00:00,9198,138,126,9462
h4,3,2018-03-02 00:00:00,2024-02-01 20:00:00,2024-02-02 00:00:00,2024-03-01 20:00:00,2024-03-04 00:00:00,2024-04-01 20:00:00,9216,126,126,9468
h4,4,2018-04-02 00:00:00,2024-03-01 20:00:00,2024-03-04 00:00:00,2024-04-01 20:00:00,2024-04-02 00:00:00,2024-05-01 20:00:00,9216,126,132,9474
h4,5,2018-05-02 00:00:00,2024-04-01 20:00:00,2024-04-02 00:00:00,2024-05-01 20:00:00,2024-05-02 00:00:00,2024-05-31 20:00:00,9210,132,132,9474
h4,6,2018-06-04 00:00:00,2024-05-01 20:00:00,2024-05-02 00:00:00,2024-05-31 20:00:00,2024-06-03 00:00:00,2024-07-01 20:00:00,9204,132,126,9462
h4,7,2018-07-02 00:00:00,2024-05-31 20:00:00,2024-06-03 00:00:00,2024-07-01 20:00:00,2024-07-02 00:00:00,2024-08-01 20:00:00,9216,126,138,9480
h4,8,2018-08-02 00:00:00,2024-07-01 20:00:00,2024-07-02 00:00:00,2024-08-01 20:00:00,2024-08-02 00:00:00,2024-08-30 20:00:00,9204,138,126,9468
h4,9,2018-09-03 00:00:00,2024-08-01 20:00:00,2024-08-02 00:00:00,2024-08-30 20:00:00,2024-09-02 00:00:00,2024-10-01 20:00:00,9210,126,132,9468
h4,10,2018-10-02 00:00:00,2024-08-30 20:00:00,2024-09-02 00:00:00,2024-10-01 20:00:00,2024-10-02 00:00:00,2024-11-01 20:00:00,9210,132,139,9481
h4,11,2018-11-02 00:00:00,2024-10-01 20:00:00,2024-10-02 00:00:00,2024-11-01 20:00:00,2024-11-04 00:00:00,2024-11-29 20:00:00,9204,139,120,9463
h4,12,2018-12-03 00:00:00,2024-11-01 20:00:00,2024-11-04 00:00:00,2024-11-29 20:00:00,2024-12-02 00:00:00,2024-12-31 20:00:00,9217,120,126,9463
h4,13,2019-01-02 00:00:00,2024-11-29 20:00:00,2024-12-02 00:00:00,2024-12-31 20:00:00,2025-01-02 00:00:00,2025-01-31 20:00:00,9217,126,132,9475
h4,14,2019-02-04 00:00:00,2024-12-31 20:00:00,2025-01-02 00:00:00,2025-01-31 20:00:00,2025-02-03 00:00:00,2025-02-28 20:00:00,9205,132,120,9457
h4,15,2019-03-04 00:00:00,2025-01-31 20:00:00,2025-02-03 00:00:00,2025-02-28 20:00:00,2025-03-03 00:00:00,2025-04-01 20:00:00,9217,120,132,9469
h4,16,2019-04-02 00:00:00,2025-02-28 20:00:00,2025-03-03 00:00:00,2025-04-01 20:00:00,2025-04-02 00:00:00,2025-05-01 20:00:00,9211,132,132,9475
h4,17,2019-05-02 00:00:00,2025-04-01 20:00:00,2025-04-02 00:00:00,2025-05-01 20:00:00,2025-05-02 00:00:00,2025-05-30 20:00:00,9211,132,126,9469
h4,18,2019-06-03 00:00:00,2025-05-01 20:00:00,2025-05-02 00:00:00,2025-05-30 20:00:00,2025-06-02 00:00:00,2025-07-01 20:00:00,9211,126,132,9469
h4,19,2019-07-02 00:00:00,2025-05-30 20:00:00,2025-06-02 00:00:00,2025-07-01 20:00:00,2025-07-02 00:00:00,2025-08-01 20:00:00,9211,132,138,9481
h4,20,2019-08-02 00:00:00,2025-07-01 20:00:00,2025-07-02 00:00:00,2025-08-01 20:00:00,2025-08-04 00:00:00,2025-09-01 20:00:00,9205,138,126,9469
h4,21,2019-09-02 00:00:00,2025-08-01 20:00:00,2025-08-04 00:00:00,2025-09-01 20:00:00,2025-09-02 00:00:00,2025-10-01 20:00:00,9217,126,132,9475
