ExpID,Model,WINDOW,UNITS,LSTM_ACTIVATION,RECURRENT_ACTIVATION,OUTPUT_ACTIVATION,SPLIT_RATIO,EPOCHS,BATCH,LR,BETA_1,BETA_2,SCHEDULE_DECAY,MAE_open,MAE_high,MAE_low,MAE_close,MAPE_close(%),DA_close(%),FLF_val_loss_min,TrainTime_s,Run_CMD,OUT_PATH
1,BiLSTM + FLF,1,200,tanh,sigmoid,linear,0.6,80,72,1e-05,0.09,0.0999,0.0004,,,,,,,,,"WINDOW=1 SPLIT_RATIO=0.6 EPOCHS=80 BATCH=72 UNITS=200 LSTM_ACTIVATION=""tanh"" RECURRENT_ACTIVATION=""sigmoid"" LR=1e-05 BETA_1=0.09 BETA_2=0.0999 SCHEDULE_DECAY=0.0004 OUT_PATH=""results/bilstm_w1_tanh_split60_u200.csv"" python FLF_BiLSTM_Forex_configurable.py",results/bilstm_w1_tanh_split60_u200.csv
2,BiLSTM + FLF,1,256,tanh,sigmoid,linear,0.6,80,128,1e-05,0.09,0.0999,0.0004,,,,,,,,,"WINDOW=1 SPLIT_RATIO=0.6 EPOCHS=80 BATCH=128 UNITS=256 LSTM_ACTIVATION=""tanh"" RECURRENT_ACTIVATION=""sigmoid"" LR=1e-05 BETA_1=0.09 BETA_2=0.0999 SCHEDULE_DECAY=0.0004 OUT_PATH=""results/bilstm_w1_tanh_split60_u256.csv"" python FLF_BiLSTM_Forex_configurable.py",results/bilstm_w1_tanh_split60_u256.csv
3,BiLSTM + FLF,1,200,tanh,sigmoid,linear,0.7,80,72,1e-05,0.09,0.0999,0.0004,,,,,,,,,"WINDOW=1 SPLIT_RATIO=0.7 EPOCHS=80 BATCH=72 UNITS=200 LSTM_ACTIVATION=""tanh"" RECURRENT_ACTIVATION=""sigmoid"" LR=1e-05 BETA_1=0.09 BETA_2=0.0999 SCHEDULE_DECAY=0.0004 OUT_PATH=""results/bilstm_w1_tanh_split70_u200.csv"" python FLF_BiLSTM_Forex_configurable.py",results/bilstm_w1_tanh_split70_u200.csv
4,BiLSTM + FLF,1,256,tanh,sigmoid,linear,0.7,80,128,1e-05,0.09,0.0999,0.0004,,,,,,,,,"WINDOW=1 SPLIT_RATIO=0.7 EPOCHS=80 BATCH=128 UNITS=256 LSTM_ACTIVATION=""tanh"" RECURRENT_ACTIVATION=""sigmoid"" LR=1e-05 BETA_1=0.09 BETA_2=0.0999 SCHEDULE_DECAY=0.0004 OUT_PATH=""results/bilstm_w1_tanh_split70_u256.csv"" python FLF_BiLSTM_Forex_configurable.py",results/bilstm_w1_tanh_split70_u256.csv
5,BiLSTM + FLF,1,200,relu,sigmoid,linear,0.6,100,72,5e-05,0.09,0.0999,0.0004,,,,,,,,,"WINDOW=1 SPLIT_RATIO=0.6 EPOCHS=100 BATCH=72 UNITS=200 LSTM_ACTIVATION=""relu"" RECURRENT_ACTIVATION=""sigmoid"" LR=5e-05 BETA_1=0.09 BETA_2=0.0999 SCHEDULE_DECAY=0.0004 OUT_PATH=""results/bilstm_w1_relu_split60_u200.csv"" python FLF_BiLSTM_Forex_configurable.py",results/bilstm_w1_relu_split60_u200.csv
6,BiLSTM + FLF,1,256,relu,sigmoid,linear,0.6,100,128,5e-05,0.09,0.0999,0.0004,,,,,,,,,"WINDOW=1 SPLIT_RATIO=0.6 EPOCHS=100 BATCH=128 UNITS=256 LSTM_ACTIVATION=""relu"" RECURRENT_ACTIVATION=""sigmoid"" LR=5e-05 BETA_1=0.09 BETA_2=0.0999 SCHEDULE_DECAY=0.0004 OUT_PATH=""results/bilstm_w1_relu_split60_u256.csv"" python FLF_BiLSTM_Forex_configurable.py",results/bilstm_w1_relu_split60_u256.csv
7,BiLSTM + FLF,1,200,relu,sigmoid,linear,0.7,100,72,5e-05,0.09,0.0999,0.0004,,,,,,,,,"WINDOW=1 SPLIT_RATIO=0.7 EPOCHS=100 BATCH=72 UNITS=200 LSTM_ACTIVATION=""relu"" RECURRENT_ACTIVATION=""sigmoid"" LR=5e-05 BETA_1=0.09 BETA_2=0.0999 SCHEDULE_DECAY=0.0004 OUT_PATH=""results/bilstm_w1_relu_split70_u200.csv"" python FLF_BiLSTM_Forex_configurable.py",results/bilstm_w1_relu_split70_u200.csv
8,BiLSTM + FLF,1,256,relu,sigmoid,linear,0.7,100,128,5e-05,0.09,0.0999,0.0004,,,,,,,,,"WINDOW=1 SPLIT_RATIO=0.7 EPOCHS=100 BATCH=128 UNITS=256 LSTM_ACTIVATION=""relu"" RECURRENT_ACTIVATION=""sigmoid"" LR=5e-05 BETA_1=0.09 BETA_2=0.0999 SCHEDULE_DECAY=0.0004 OUT_PATH=""results/bilstm_w1_relu_split70_u256.csv"" python FLF_BiLSTM_Forex_configurable.py",results/bilstm_w1_relu_split70_u256.csv
9,BiLSTM + FLF,3,200,tanh,sigmoid,linear,0.6,100,128,1e-05,0.09,0.0999,0.0004,,,,,,,,,"WINDOW=3 SPLIT_RATIO=0.6 EPOCHS=100 BATCH=128 UNITS=200 LSTM_ACTIVATION=""tanh"" RECURRENT_ACTIVATION=""sigmoid"" LR=1e-05 BETA_1=0.09 BETA_2=0.0999 SCHEDULE_DECAY=0.0004 OUT_PATH=""results/bilstm_w3_tanh_split60_u200.csv"" python FLF_BiLSTM_Forex_configurable.py",results/bilstm_w3_tanh_split60_u200.csv
10,BiLSTM + FLF,3,256,tanh,sigmoid,linear,0.6,100,128,1e-05,0.09,0.0999,0.0004,,,,,,,,,"WINDOW=3 SPLIT_RATIO=0.6 EPOCHS=100 BATCH=128 UNITS=256 LSTM_ACTIVATION=""tanh"" RECURRENT_ACTIVATION=""sigmoid"" LR=1e-05 BETA_1=0.09 BETA_2=0.0999 SCHEDULE_DECAY=0.0004 OUT_PATH=""results/bilstm_w3_tanh_split60_u256.csv"" python FLF_BiLSTM_Forex_configurable.py",results/bilstm_w3_tanh_split60_u256.csv
11,BiLSTM + FLF,3,200,tanh,sigmoid,linear,0.7,100,128,1e-05,0.09,0.0999,0.0004,,,,,,,,,"WINDOW=3 SPLIT_RATIO=0.7 EPOCHS=100 BATCH=128 UNITS=200 LSTM_ACTIVATION=""tanh"" RECURRENT_ACTIVATION=""sigmoid"" LR=1e-05 BETA_1=0.09 BETA_2=0.0999 SCHEDULE_DECAY=0.0004 OUT_PATH=""results/bilstm_w3_tanh_split70_u200.csv"" python FLF_BiLSTM_Forex_configurable.py",results/bilstm_w3_tanh_split70_u200.csv
12,BiLSTM + FLF,3,256,tanh,sigmoid,linear,0.7,100,128,1e-05,0.09,0.0999,0.0004,,,,,,,,,"WINDOW=3 SPLIT_RATIO=0.7 EPOCHS=100 BATCH=128 UNITS=256 LSTM_ACTIVATION=""tanh"" RECURRENT_ACTIVATION=""sigmoid"" LR=1e-05 BETA_1=0.09 BETA_2=0.0999 SCHEDULE_DECAY=0.0004 OUT_PATH=""results/bilstm_w3_tanh_split70_u256.csv"" python FLF_BiLSTM_Forex_configurable.py",results/bilstm_w3_tanh_split70_u256.csv
13,BiLSTM + FLF,3,200,relu,sigmoid,linear,0.6,100,128,5e-05,0.09,0.0999,0.0004,,,,,,,,,"WINDOW=3 SPLIT_RATIO=0.6 EPOCHS=100 BATCH=128 UNITS=200 LSTM_ACTIVATION=""relu"" RECURRENT_ACTIVATION=""sigmoid"" LR=5e-05 BETA_1=0.09 BETA_2=0.0999 SCHEDULE_DECAY=0.0004 OUT_PATH=""results/bilstm_w3_relu_split60_u200.csv"" python FLF_BiLSTM_Forex_configurable.py",results/bilstm_w3_relu_split60_u200.csv
